200 	220702.647	1366936 
201 	247186.9646	1614123 
202 	276849.4003	1890973 
203 	310071.3283	2201044 
204 	347279.8876	2548324 
205 	388953.4741	2937277 
206 	435627.8909	3372905 
207 	487903.2378	3860808 
208 	546451.6263	4407260 
209 	612025.8214	5019286 
210 	979241.3142	5998527 
211 	1086957.859	7085485 
212 	1206523.223	8292008 
213 	1339240.778	9631249 
214 	1486557.263	11117806 
215 	1932524.442	13050331 
216 	2106451.642	15156782 
217 	2296032.289	17452815 
218 	2502675.195	19955490 
219 	2727915.963	22683406 
220 	4364665.541	27048071 
221 	4670192.128	31718263 
222 	4997105.577	36715369 
223 	5346902.968	42062272 
224 	5721186.175	47783458 
225 	7437542.028	55221000 
226 	7809419.129	63030419 
227 	8199890.086	71230309 
228 	8609884.59	79840194 
229 	9040378.82	88880573 
230 	14464606.11	103345179 
231 	14898544.29	118243723 
232 	15345500.62	133589224 
233 	15805865.64	149395089 
234 	16280041.61	165675131 
235 	21164054.09	186839185 
236 	21798975.72	208638161 
237 	22452944.99	231091106 
238 	23126533.34	254217639 
239 	23820329.34	278037969 
240 	38112526.94	316150496 
241 	39255902.75	355406398 
242 	40433579.83	395839978 
243 	41646587.23	437486565 
244 	42895984.84	480382550 
245 	55764780.3	536147330 
246 	57437723.71	593585054 
247 	59160855.42	652745910 
248 	60935681.08	713681591 
249 	62763751.51	776445342 
